repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,inspector2_label,inspector2_confidence,inspector2_evidence_sources,inspector2_functional_note,inspector2_free_notes
0-AI-UG/cate,https://github.com/0-AI-UG/cate,1662,TypeScript,"An infinite zoomable canvas for coding. Editor, terminal, and browser panels in a spatial workspace.",,"{""matched_paths"": [""src/agent/extensions/subagent/prompts/implement.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository is a development tool spatial canvas workspace for application coding and user interface engineering.,
AIDotNet/OpenCowork,https://github.com/AIDotNet/OpenCowork,485,TypeScript,Open Cowork - Opensource Claude Cowork for Windows & macOS & Linux. ,,"{""matched_paths"": [""src/renderer/src/lib/agent/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,entrypoints",Repository provides an open-source Claude-powered desktop client application engineered specifically for interactive AI agent operations.,
ARPAHLS/OPSIE,https://github.com/ARPAHLS/OPSIE,27,Python,An advanced Self-Centered Intelligence (SCI) prototype that represents a new paradigm in AI-human interaction.,agentic-rag|agents|ai|api|arpa|autonomous-agents|llm|local-ai|mcp|ml|multimodal|ollama|opsie|rag|self-hosted|sql,"{""matched_paths"": [""docs/PROMPTS_AND_SOULSIG.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,instruction_consumption",Repository provides an advanced agentic framework and model server integration suite for AI systems engineering.,
Arcanyx-org/NiXium,https://github.com/Arcanyx-org/NiXium,47,Nix,Open-Source Infrastructure as Code Management Solution for Multiple Systems designed to be reliable in mission-critical tasks on paranoid and high-security environment.,disko|flake-parts|home-manager|kreyren|nix|nixium,"{""matched_paths"": ["".opencode.legacy/quests/07-claude-system-prompt-analysis/system-prompt-override.md""], ""queries"": [""system-prompt.*""]}",.github/workflows,,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository is an open-source infrastructure-as-code management framework based on Nix configurations.,
Arindam200/awesome-ai-apps,https://github.com/Arindam200/awesome-ai-apps,12860,Python,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",agents|ai|hacktoberfest|llm|mcp,"{""matched_paths"": [""advance_ai_agents/deep_research_writing_agents_nebius_okahu/implement_yourself/tasks/006-add-research-workflow-prompt.groomed.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,EXCLUDE,high,"readme,file_tree",Repository functions purely as a curated awesome-style collection and tutorial repository for diverse AI application examples.,
ArisGuimera/MobiAI-Core,https://github.com/ArisGuimera/MobiAI-Core,392,Go,,,"{""matched_paths"": [""GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository functions as a dedicated backend orchestration layer or client platform tailored for AI framework integration.,
Azure-Samples/art-voice-agent-accelerator,https://github.com/Azure-Samples/art-voice-agent-accelerator,73,Python,"Build, test, and ship omnichannel voice agents on Azure—ACS telephony, custom STT→LLM→TTS pipeline, Voice Live API (voice-to-voice), and Foundry Agents.",,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,EXCLUDE,high,"readme,file_tree",Repository is configured as a reference architecture project sample gallery and solution accelerator for Azure voice solutions.,
Azure/kimojio-rs,https://github.com/Azure/kimojio-rs,242,Rust,A thread-per-core Linux io_uring async runtime for Rust optimized for latency.,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; Cargo.toml,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,dependencies",Repository is a systems-level high-performance async io_uring platform library built in Rust for infrastructure workloads.,
B-M-Capital-Research/honeclaw,https://github.com/B-M-Capital-Research/honeclaw,737,Rust,HoneClaw (Hone-Financial) is dedicated to being a professional investment assistant that truly understands you.,,"{""matched_paths"": [""docs/bugs/archive/opencode_prompt_issues.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,AI_PRODUCT,high,"readme,file_tree,dependencies",Repository provides a financial investment intelligence framework utilizing advanced AI models and processing infrastructure.,
BNETDocs/bnetdocs-web,https://github.com/BNETDocs/bnetdocs-web,35,JavaScript,"BNETDocs, the documentation and discussion website for Blizzard protocols",battle-net|battlenet|blizzard|bnet|bnetdocs|bot|composer|diablo|discussion|discussion-website|documentation|game-protocols|html|php|protocol|pvpgn|starcraft|warcraft,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; phpunit.xml; tests/,tags=1; releases=1,CONVENTIONAL_SOFTWARE,high,"readme,file_tree",Repository contains the standard web application and discussion community backend platform for analyzing Blizzard protocols.,
