Title,Authors,Venue,Year,DOI,URL,Research area,How it relates to our paper,Verified
The road ahead for Mining Software Repositories,"Hassan, Ahmed E.",2008 Frontiers of Software Maintenance,2008,10.1109/fosm.2008.4659248,https://doi.org/10.1109/fosm.2008.4659248,MSR methodology,Defines the MSR research programme and its methodological agenda; does not address target-conditional contamination of instruction-artifact discovery frames.,YES
The perils and pitfalls of mining SourceForge,"Howison, J.","""International Workshop on Mining Software Repositories (MSR 2004)"" W17S Workshop - 26th International Conference on Software Engineering",2004,10.1049/ic:20040467,https://doi.org/10.1049/ic:20040467,Sampling bias; Repository discovery,Seminal warning that forge metadata and project status mislead mining; pre-GitHub and not about AI-instruction predicates or consensus-protocol sensitivity.,YES
GHTorrent: Github's data from a firehose,"Gousios, Georgios; Spinellis, D.",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),2012,10.1109/MSR.2012.6224294,https://doi.org/10.1109/MSR.2012.6224294,MSR methodology; Repository discovery; Metadata quality,"Infrastructure for large-scale GitHub event collection; solves access and mirroring, not analytic-population membership after path-based discovery.",YES
Lean GHTorrent: GitHub data on demand,"Gousios, Georgios et al.",Proceedings of the 11th Working Conference on Mining Software Repositories,2014,10.1145/2597073.2597126,https://doi.org/10.1145/2597073.2597126,MSR methodology; Metadata quality,"Improves on-demand access to GHTorrent; still treats retrieval completeness, not sample-target fit for instruction files.",YES
The promises and perils of mining GitHub,"Kalliamvakou, Eirini et al.",Proceedings of the 11th Working Conference on Mining Software Repositories,2014,10.1145/2597073.2597074,https://doi.org/10.1145/2597073.2597074,Sampling bias; Metadata quality; Threats to validity,"Documents that GitHub entities are not always software projects and that activity proxies mislead; closest prior peril taxonomy, but does not operationalize contamination audits for AI-instruction discovery predicates or consensus-protocol sensitivity.",YES
An in-depth study of the promises and perils of mining GitHub,"Kalliamvakou, Eirini et al.",Empirical Software Engineering,2015,10.1007/s10664-015-9393-5,https://doi.org/10.1007/s10664-015-9393-5,Sampling bias; Metadata quality; Threats to validity,"Journal extension with deeper perils analysis; still general GitHub mining perils, not instruction-artifact frame auditing.",YES
Curating GitHub for engineered software projects,"Munaiah, Nuthan et al.",Empirical Software Engineering,2017,10.1007/s10664-017-9512-6,https://doi.org/10.1007/s10664-017-9512-6,Repository sampling; Dataset construction; Dataset validation,"RepoReapers filters engineered vs. non-engineered projects via classifiers; related construct (project engineering status) but different target than membership in an instruction-artifact analytic population, and no consensus-protocol sensitivity for contamination rates.",YES
PHANTOM: Curating GitHub for engineered software projects using time-series clustering,"Pickerill, Peter et al.",Empirical Software Engineering,2020,10.1007/s10664-020-09825-8,https://doi.org/10.1007/s10664-020-09825-8,Repository sampling; Dataset validation,Time-series curation of engineered projects; improves on RepoReapers-style filtering but still not target-conditional instruction-artifact contamination.,YES
Sampling in software engineering research: a critical review and guidelines,"Baltes, Sebastian; Ralph, Paul",Empirical Software Engineering,2022,10.1007/s10664-021-10072-8,https://doi.org/10.1007/s10664-021-10072-8,Repository sampling; Reporting guidelines; Construct validity,Critical review of SE sampling practice and guidelines for frames/populations; motivates reporting but does not supply a worksheet protocol or empirical contamination audit for AI-instruction discovery frames.,YES
Sampling Projects in GitHub for MSR Studies,"Dabic, Ozren; Aghajani, Emad; Bavota, Gabriele",2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),2021,10.1109/MSR52588.2021.00074,https://doi.org/10.1109/MSR52588.2021.00074,Repository sampling; Sampling bias,"Studies how GitHub project samples are drawn for MSR; emphasizes sampling strategy, not contamination after path predicates for agent-instruction files.",YES
A Systematic Mapping Study of Software Development With GitHub,"Cosentino, Valerio; Canovas Izquierdo, Javier L.; Cabot, Jordi",IEEE Access,2017,10.1109/ACCESS.2017.2682323,https://doi.org/10.1109/ACCESS.2017.2682323,MSR methodology; Repository discovery,"Maps GitHub-based SE research topics and methods; inventory of practice, not a contamination-audit method.",YES
World of Code: An Infrastructure for Mining the Universe of Open Source VCS Data,"Ma, Yuxing et al.",2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),2019,10.1109/MSR.2019.00031,https://doi.org/10.1109/MSR.2019.00031,Repository discovery; MSR methodology,"Cross-forge discovery infrastructure; expands coverage beyond GitHub search, does not audit analytic-population fit of instruction-file hits.",YES
The Software Heritage Graph Dataset: Public Software Development Under One Roof,"Pietri, Antoine; Spinellis, Diomidis; Zacchiroli, Stefano",2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),2019,10.1109/MSR.2019.00030,https://doi.org/10.1109/MSR.2019.00030,Repository discovery; Research artifacts,"Archive-scale graph dataset for reproducible mining; strengthens discovery/provenance, not membership labeling for instruction artifacts.",YES
Building the universal archive of source code,"Abramatic, Jean-François; Di Cosmo, Roberto; Zacchiroli, Stefano",Communications of the ACM,2018,10.1145/3183558,https://doi.org/10.1145/3183558,Repository discovery,"Motivates Software Heritage preservation; complementary infrastructure, orthogonal to contamination estimation.",YES
