repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,inspector2_label,inspector2_confidence,inspector2_evidence_sources,inspector2_functional_note,inspector2_free_notes
0-AI-UG/cate,https://github.com/0-AI-UG/cate,1662,TypeScript,"An infinite zoomable canvas for coding. Editor, terminal, and browser panels in a spatial workspace.",,"{""matched_paths"": [""src/agent/extensions/subagent/prompts/implement.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,,,,,
AIDotNet/OpenCowork,https://github.com/AIDotNet/OpenCowork,485,TypeScript,Open Cowork - Opensource Claude Cowork for Windows & macOS & Linux. ,,"{""matched_paths"": [""src/renderer/src/lib/agent/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,,,,,
ARPAHLS/OPSIE,https://github.com/ARPAHLS/OPSIE,27,Python,An advanced Self-Centered Intelligence (SCI) prototype that represents a new paradigm in AI-human interaction.,agentic-rag|agents|ai|api|arpa|autonomous-agents|llm|local-ai|mcp|ml|multimodal|ollama|opsie|rag|self-hosted|sql,"{""matched_paths"": [""docs/PROMPTS_AND_SOULSIG.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,,,,,
Arcanyx-org/NiXium,https://github.com/Arcanyx-org/NiXium,47,Nix,Open-Source Infrastructure as Code Management Solution for Multiple Systems designed to be reliable in mission-critical tasks on paranoid and high-security environment.,disko|flake-parts|home-manager|kreyren|nix|nixium,"{""matched_paths"": ["".opencode.legacy/quests/07-claude-system-prompt-analysis/system-prompt-override.md""], ""queries"": [""system-prompt.*""]}",.github/workflows,,,,,,
Arindam200/awesome-ai-apps,https://github.com/Arindam200/awesome-ai-apps,12860,Python,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",agents|ai|hacktoberfest|llm|mcp,"{""matched_paths"": [""advance_ai_agents/deep_research_writing_agents_nebius_okahu/implement_yourself/tasks/006-add-research-workflow-prompt.groomed.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,,,,,
ArisGuimera/MobiAI-Core,https://github.com/ArisGuimera/MobiAI-Core,392,Go,,,"{""matched_paths"": [""GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,,,,,
Azure-Samples/art-voice-agent-accelerator,https://github.com/Azure-Samples/art-voice-agent-accelerator,73,Python,"Build, test, and ship omnichannel voice agents on Azure—ACS telephony, custom STT→LLM→TTS pipeline, Voice Live API (voice-to-voice), and Foundry Agents.",,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,,,,,
Azure/kimojio-rs,https://github.com/Azure/kimojio-rs,242,Rust,A thread-per-core Linux io_uring async runtime for Rust optimized for latency.,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; Cargo.toml,tags=1; releases=1,,,,,
B-M-Capital-Research/honeclaw,https://github.com/B-M-Capital-Research/honeclaw,737,Rust,HoneClaw (Hone-Financial) is dedicated to being a professional investment assistant that truly understands you.,,"{""matched_paths"": [""docs/bugs/archive/opencode_prompt_issues.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,,,,,
BNETDocs/bnetdocs-web,https://github.com/BNETDocs/bnetdocs-web,35,JavaScript,"BNETDocs, the documentation and discussion website for Blizzard protocols",battle-net|battlenet|blizzard|bnet|bnetdocs|bot|composer|diablo|discussion|discussion-website|documentation|game-protocols|html|php|protocol|pvpgn|starcraft|warcraft,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; phpunit.xml; tests/,tags=1; releases=1,,,,,
Bitterbot-AI/bitterbot-desktop,https://github.com/Bitterbot-AI/bitterbot-desktop,2392,TypeScript,"A local-first AI agent with persistent memory, emotional intelligence, and a peer-to-peer skills economy.",a2a-protocol|agent-economy|agent-memory|ai-agent|chatbot|cognitive-architecture|decentralized-ai|desktop-app|dream-engine|local-first|multi-channel|open-source|p2p|personal-ai|skills-marketplace|typescript|x402,"{""matched_paths"": [""src/agents/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; test/,tags=1; releases=1,,,,,
BlackBeltTechnology/pi-agent-dashboard,https://github.com/BlackBeltTechnology/pi-agent-dashboard,168,TypeScript,"Real-time web dashboard for pi coding-agent sessions. Multi-session view, live chat mirroring, integrated terminal, diff viewer, pi-flows execution, and mobile-first remote control via mDNS or zrok tunnel. Coexists with pi's TUI — doesn't replace it.",,"{""matched_paths"": [""openspec/changes/archive/2026-03-27-auto-resume-on-prompt/tasks.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,,,,,
CavinHuang/comfyui-nodes-docs,https://github.com/CavinHuang/comfyui-nodes-docs,279,JavaScript,"comfyui节点文档插件,enjoy~~",comfyui|comfyui-nodes|comfyui-nodes-docs,"{""matched_paths"": [""docs/LMStudioPrompt.md"", ""docs/ScaleBatchPromptSchedule.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,,,,,
ChenZiHong-Gavin/weekly-vibe-coding,https://github.com/ChenZiHong-Gavin/weekly-vibe-coding,22,TypeScript,用提示词实现一百个idea,frontend|hci|skills|vibe-coding,"{""matched_paths"": [""prompts/marionette.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows,,,,,,
CompanyHelm/companyhelm,https://github.com/CompanyHelm/companyhelm,70,TypeScript,,,"{""matched_paths"": [""apps/api/src/prompts/system_prompt_template_context.ts""], ""queries"": [""system_prompt.*""]}",.github/workflows; tests/,tags=1; releases=0,,,,,
Cppys/OpenNovel,https://github.com/Cppys/OpenNovel,22,Python,基于claude sdk的自动化小说撰写Agent，支持对话，高质量的小说写作与发表,,"{""matched_paths"": [""config/prompts/story_architect.md""], ""queries"": [""*.prompt.md""]}",tests/,,,,,,
CrispStrobe/CrispEmbed,https://github.com/CrispStrobe/CrispEmbed,23,C++,Lightweight text embedding inference via ggml in pure C++: XLM-R/Qwen3/Gemma/MPNet/etc,bert|embeddings|ggml|mpnet|xlm-roberta,"{""matched_paths"": [""handover-prompts/layout-detect-parity.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,,,,,
DataDog/stratus-red-team,https://github.com/DataDog/stratus-red-team,2342,Go,":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud",adversary-emulation|aws|aws-security|azure-security|cloud-native-security|cloud-security|detection-engineering|gcp-security|kubernetes-security|mitre-attack|purple-team|security|threat-detection,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,,,,,
Disentinel/grafema,https://github.com/Disentinel/grafema,35,Rust,Graph-based static analysis tool,cli|graph-database|graphs|mcp|static-analysis|vscode-extension,"{""matched_paths"": [""autoresearch/prompts/abl-09.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; test/,tags=1; releases=1,,,,,
DontFuckMyCode/dfmc,https://github.com/DontFuckMyCode/dfmc,18,Go,,,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows; go.mod,,,,,,
ExDragine/frontier,https://github.com/ExDragine/frontier,10,Python,,,"{""matched_paths"": [""prompts/system_prompt_image.md""], ""queries"": [""system_prompt.*""]}",pytest.ini; test/,,,,,,
FavioVazquez/learnship,https://github.com/FavioVazquez/learnship,53,Shell,Learn as you build. Build with intent. Ship real products. Agentic engineering done right. ,agentic-ai|ai-agent|ai-workflow|claude-code|codex-cli|cursor|gemini-cli|windsurf,"{""matched_paths"": ["".windsurf/workflows/templates/agents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=1,,,,,
GreenteaOS/Caramel,https://github.com/GreenteaOS/Caramel,10,TypeScript,Confectionery of the @GreenteaOS,,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows,tags=1; releases=1,,,,,
GregorStocks/mage-bench,https://github.com/GregorStocks/mage-bench,60,Java,Magic: The Gathering harness for LLMs,,"{""matched_paths"": [""puppeteer/prompts/default.md""], ""queries"": [""*.prompt.md""]}",.travis.yml; tests/,,,,,,
Hacksore/cursed-repo,https://github.com/Hacksore/cursed-repo,91,JavaScript,Average JavaScript repo 🫪,,"{""matched_paths"": ["".aider.conf.yml"", "".aiderignore"", "".clinerules"", "".windsurfrules""], ""queries"": ["".aider.conf.yml"", "".aiderignore"", "".clinerules"", "".windsurfrules""]}",.travis.yml; .circleci; Jenkinsfile; azure-pipelines.yml; .gitlab-ci.yml; bitbucket-pipelines.yml; .buildkite; test/,,,,,,
HaiNinh1/oh-my-opencode,https://github.com/HaiNinh1/oh-my-opencode,10,TypeScript,,,"{""matched_paths"": [""src/cli/config-manager/AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=0,,,,,
