repo_full_name,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence
0-AI-UG/cate,TypeScript,"An infinite zoomable canvas for coding. Editor, terminal, and browser panels in a spatial workspace.",,"{""matched_paths"": [""src/agent/extensions/subagent/prompts/implement.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1
0niel/university-app,Dart,"A mobile application for the MIREA - Russian Technological University, which includes a schedule, news and many other functions",android|bloc|clean-architecture|dart|flutter|ios,"{""matched_paths"": ["".cursor/rules/cache.md""], ""queries"": ["".cursor/rules""]}",.github/workflows; test/,tags=1; releases=1
0xN0RMXL/BugBountySkills,Markdown,"An obsessive, expert-tier knowledge base + AI skill system for professional bug bounty hunting, security research, and penetration testing.",,"{""matched_paths"": [""MASTER_SYSTEM_PROMPTS/local_model_system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,
0xdpfly/gin-app-start,Go,"A development framework based on Gin, which provides a clear directory structure and powerful features. It includes commonly used middleware such as parameter validation and exception handling, as well as utility methods like HTTP request encapsulation and email services. It also supports databases like MySQL, MongoDB, and Redis.",,"{""matched_paths"": ["".cursor/rules/CLAUDE.md""], ""queries"": ["".cursor/rules""]}",go.mod,
1Password/SCAM,Python,"SCAM - Security Comprehension Awareness Measure | Open-source benchmark that tests AI agents' security awareness during realistic, multi-turn workplace tasks.",,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",tests/,
1amageek/SwiftAgent,Swift,"  A type-safe, declarative AI agent framework for Swift. Build composable AI pipelines with Steps, Agents, structured           outputs, and tool integration. Features FIFO session management, MCP support, and distributed actor communication. ",agent|ai|swift,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=0
1jehuang/jcode,Rust,Coding Agent Harness,ai|claude|cli|coding-agent|llm|mcp|openai|rust|terminal|tui,"{""matched_paths"": [""crates/jcode-base/src/prompt/system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1
2030ai/2030ai-claudecode-allecosystem-sync,Python,"Cross-platform skill & MCP sync for Claude Code CLI, Codex CLI, and Cursor",,"{""matched_paths"": [""PROMPT.md""], ""queries"": [""*.prompt.md""]}",tests/,
26d0/vrchat-ime-chat,TypeScript,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; go.mod,tags=1; releases=1
3MFConsortium/gladius,C++,Gladius is a viewer and editor for 3mf files using the volumetric extension.,,"{""matched_paths"": ["".github/chatmodes/planning.chatmode.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows,tags=1; releases=1
567-labs/instructor,Python,structured outputs for llms ,openai|openai-function-calli|openai-functions|pydantic-v2|python|validation,"{""matched_paths"": ["".cursor/rules/new-features-planning.mdc"", ""docs/examples/multi_modal_gemini.md""], ""queries"": ["".cursor/rules"", ""GEMINI.md""]}",.github/workflows; tests/,tags=1; releases=1
9mtm/Agent-Player,TypeScript,Open-source AI desktop assistant — run local or remote LLMs with privacy-first design and zero setup required.,ai-agent|ai-assistant|ai-assistant-offline|ai-automation|cross-platform|desktop-app|developer-tools|encrypted-storage|open-source|productivity|self-hosted,"{""matched_paths"": [""packages/backend/src/tools/system-prompts.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1
AI-Escape/open-ice,TypeScript,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1
AI-Planning/l2p,Python,Library for LLM-driven action model acquisition via natural language,llm|nlp|pddl,"{""matched_paths"": [""l2p/templates/custom/prompt_initial_goal_metric.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1
AI45Lab/Code,Rust,Agentic Agent Framework,,"{""matched_paths"": [""core/prompts/analysis/intent_classify_system.md"", ""core/prompts/common/boundaries.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; Cargo.toml,tags=1; releases=1
AIDotNet/OpenCowork,TypeScript,Open Cowork - Opensource Claude Cowork for Windows & macOS & Linux. ,,"{""matched_paths"": [""src/renderer/src/lib/agent/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1
AISecurityConsortium/AIGoat,JavaScript,AIGoat - Open-source AI security playground for LLM red teaming. AI Goat provides hands-on labs covering the full OWASP LLM Top 10 with progressive defenses.,ai-goat|ai-playground|ai-security|ai-security-lab|ai-vulnerabilities|aigoat|ctf-challenges|llm-attacks|llm-red-teaming|llm-security|owasp-llm|prompt-injection|prompt-injection-testing|red-teaming,"{""matched_paths"": [""prompts/challenges/c4_context_override.md"", ""prompts/labs/excessive_agency.md""], ""queries"": [""*.prompt.md"", ""prompts/""]}",.github/workflows; tests/,tags=1; releases=1
AIStoryBuilders/AIStoryBuilders,C#,Write your next novel faster and easier,ai|azure-open-ai|chatgpt|llm|open-ai|writing-application|writing-software|writing-tool,"{""matched_paths"": [""wiki-content/Anatomy-Of-A-Prompt.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1
AIrjen/OneButtonPrompt,Python,One Button Prompt,,"{""matched_paths"": [""user_guides/workflow_assist_and_prompt_variant_mode.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,
ALT-F4-LLC/dotfiles.vorpal,Rust,Vorpal dotfiles for TheAltF4Stream.,vorpal,"{""matched_paths"": [""docs/changelog/skills/evolve-agents.md""], ""queries"": [""AGENTS.md""]}",.github/workflows; Cargo.toml; tests/,
